,,,Adj. Eff.,,Eff. FG%,,Turnover%,,Off. Reb%,,FT Rate,,FT%,,2P%,,3P%,
275,SIU Edwardsville,OVC,"99.0
335","106.9
132","48.9
275","45.2
9","17.8
235","17.3
156","31.0
178","33.3
291","32.9
245","35.5
190","67.4
331","72.0
165","47.0
322","46.0
23","35.0
114","29.3
13"
276,Florida A&M,SWAC,"98.7
337","111.1
234","48.8
276","52.4
235","22.2
359","19.3
63","28.3
267","32.9
279","36.5
160","40.7
296","66.8
341","77.9
363","49.1
269","52.3
212","32.3
257","35.1
247"
277,Air Force,MWC,"94.3
357","111.6
243","48.8
277","55.0
315","22.3
360","16.2
235","22.4
354","32.4
262","35.9
175","35.5
189","65.2
357","71.1
120","51.4
191","54.8
286","30.1
334","36.8
323"
278,Old Dominion,SB,"103.6
263","110.4
216","48.8
278","50.7
150","15.8
103","14.4
327","25.2
340","29.7
135","33.1
240","42.0
317","72.1
187","74.3
292","47.4
310","52.3
213","34.0
177","31.9
76"
279,Saint Joseph's,A10,"107.5
202","102.9
70","48.7
279","48.8
81","17.2
194","15.7
265","32.0
141","31.5
211","31.8
267","27.5
29","75.7
66","67.5
13","51.7
175","48.0
56","30.0
337","33.5
157"
280,Monmouth,CAA,"102.1
291","107.2
136","48.7
280","49.5
100","17.0
185","19.7
47","30.9
182","33.8
307","34.0
216","31.9
89","73.3
149","71.4
134","47.8
300","48.4
66","33.8
187","34.2
192"
281,Tarleton St.,WAC,"106.4
218","108.9
172","48.7
281","57.2
352","20.0
338","24.2
1","32.5
122","33.2
286","43.8
24","47.5
356","76.3
52","71.2
122","48.6
285","58.6
353","32.7
237","36.8
322"
282,Cincinnati,B12,"107.0
211","93.3
6","48.7
282","47.9
53","17.7
222","18.9
79","30.2
201","25.7
13","30.9
288","30.4
62","66.0
349","70.1
73","51.3
195","47.3
40","30.4
327","32.6
110"
283,UAB,Amer,"110.3
143","107.2
137","48.6
283","50.0
118","12.7
3","16.3
221","33.4
94","26.6
30","37.6
124","31.3
78","71.1
223","74.0
276","51.0
202","50.0
114","28.6
352","33.4
151"
284,Fordham,A10,"103.1
271","104.4
82","48.6
284","49.0
84","17.3
198","15.9
252","36.5
31","26.3
22","22.3
364","28.0
34","70.9
228","71.0
113","52.4
150","47.8
53","28.0
361","33.8
172"
285,Arkansas Pine Bluff,SWAC,"105.2
239","115.1
290","48.5
285","53.9
284","19.4
321","15.8
261","27.2
298","35.1
332","37.5
125","48.8
361","75.8
64","74.5
297","48.0
293","55.6
307","32.9
230","34.0
180"
286,UC Irvine,BW,"104.4
251","98.3
24","48.5
286","44.4
5","17.7
227","17.9
123","30.2
200","31.7
228","38.6
101","28.8
44","68.6
298","69.5
49","48.3
290","40.7
1","32.7
239","34.0
181"
287,Rice,Amer,"109.2
167","114.3
280","48.5
287","52.3
232","18.0
247","16.9
183","35.1
56","35.1
330","36.9
144","40.4
294","68.5
303","75.2
320","44.6
353","51.2
164","35.9
69","36.2
296"
288,Maine,AE,"91.8
362","112.5
255","48.5
288","50.2
127","19.9
335","19.3
62","21.8
360","36.2
344","35.5
185","33.6
128","65.1
359","69.8
59","50.6
215","53.2
248","29.9
338","30.0
30"
289,East Texas A&M,Slnd,"99.1
332","110.0
205","48.5
289","53.6
272","20.0
339","17.6
144","26.1
319","33.2
289","32.6
252","36.9
222","68.5
304","68.9
34","49.8
246","51.9
197","31.2
307","37.6
340"
290,Bucknell,Pat,"99.6
323","114.2
277","48.5
290","56.1
340","19.2
314","17.9
125","27.2
296","30.7
170","31.8
269","36.7
221","76.8
38","73.7
266","49.0
276","55.0
294","31.9
272","38.3
352"
291,Fairfield,MAAC,"107.5
201","115.7
302","48.5
291","51.5
195","14.8
44","16.2
228","36.2
37","28.8
84","27.1
348","29.1
48","70.6
239","74.7
304","47.7
303","51.6
182","33.2
220","34.2
194"
292,Northern Illinois,MAC,"99.3
329","111.2
240","48.4
292","54.4
297","22.5
361","17.3
160","34.3
73","31.7
224","38.9
96","41.3
310","66.1
348","72.6
205","49.4
260","57.4
342","31.6
289","33.0
134"
293,Texas St.,SB,"102.0
292","109.9
202","48.4
293","51.7
207","19.1
307","18.6
92","33.4
97","28.1
63","34.3
208","38.6
262","75.2
83","71.7
149","48.7
280","50.8
145","31.7
284","35.4
262"
294,Southern Miss,SB,"102.0
293","108.9
169","48.4
294","51.9
217","18.0
240","17.9
124","30.1
205","28.2
68","42.7
40","41.0
306","74.1
116","71.5
139","51.8
172","49.5
104","26.8
365","36.9
329"
295,Lindenwood,OVC,"102.1
288","108.8
166","48.4
295","49.7
110","19.2
315","18.8
82","33.5
91","32.1
244","39.8
75","35.7
197","67.8
325","68.0
21","50.9
206","49.8
112","28.6
351","32.9
129"
296,Detroit Mercy,Horz,"109.4
164","114.4
282","48.4
296","53.7
274","16.7
163","14.1
334","34.8
65","31.2
193","32.1
263","40.0
286","76.9
33","72.4
185","47.3
314","55.4
303","33.7
197","34.4
208"
297,UT Arlington,WAC,"102.1
290","101.9
60","48.3
297","46.8
30","21.3
356","18.4
99","35.6
50","28.7
82","42.6
41","44.3
338","73.3
150","70.1
69","49.2
267","50.3
125","31.1
310","25.7
1"
298,Merrimack,MAAC,"105.7
234","107.4
139","48.3
298","47.6
43","15.5
84","19.8
40","25.4
336","41.5
365","38.7
98","38.8
268","77.2
28","73.3
244","49.0
271","48.8
76","31.6
287","29.9
26"
299,New Haven,NEC,"96.3
350","113.3
267","48.3
299","52.7
251","19.4
319","17.0
180","23.0
350","28.4
74","29.3
321","27.7
30","68.8
289","74.9
313","50.5
219","51.9
196","29.8
340","36.0
288"
300,Morehead St.,OVC,"105.9
233","118.9
338","48.2
300","51.9
218","18.7
292","15.9
254","36.4
33","36.0
340","36.9
143","37.3
230","73.0
162","69.0
36","48.5
287","50.3
126","31.6
290","36.2
300"
,,,Adj. Eff.,,Eff. FG%,,Turnover%,,Off. Reb%,,FT Rate,,FT%,,2P%,,3P%,
Rk,Team,Conf,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.
301,Evansville,MVC,"99.2
330","111.1
236","48.2
301","54.4
298","19.8
333","16.3
225","23.7
348","29.7
136","33.0
243","33.7
133","71.9
195","71.7
150","50.1
238","54.6
282","30.3
330","36.1
295"
302,San Jose St.,MWC,"110.1
146","115.9
306","48.2
302","57.6
357","17.2
197","18.2
108","31.1
174","36.3
345","33.5
234","34.3
149","74.0
124","76.8
352","46.0
337","58.8
355","34.5
144","37.1
332"
303,Illinois Chicago,MVC,"108.9
172","104.5
83","48.1
303","49.4
93","18.1
255","20.1
31","36.9
27","34.5
324","39.0
92","36.1
208","72.9
164","74.9
311","49.0
272","51.3
167","30.8
322","31.4
62"
304,Oral Roberts,Sum,"99.3
328","115.4
296","48.1
304","55.1
320","18.8
298","15.1
293","26.8
304","34.2
319","35.5
187","39.9
285","73.3
152","71.0
112","49.5
258","53.3
250","30.9
320","39.0
358"
305,USC Upstate,BSth,"98.6
339","110.5
218","48.1
305","50.2
128","17.8
232","16.0
246","28.1
271","31.5
213","34.3
207","37.5
239","67.0
337","70.9
111","47.9
296","49.6
108","32.4
254","34.2
196"
306,Manhattan,MAAC,"104.3
254","121.8
355","48.0
306","54.9
308","15.4
75","16.7
200","27.9
277","38.2
359","33.5
231","25.1
11","79.8
4","72.4
182","47.5
309","53.7
264","32.5
250","37.9
347"
307,Abilene Christian,WAC,"102.6
280","110.8
229","47.9
307","56.7
350","20.5
347","22.8
6","32.4
127","31.1
189","37.4
126","52.9
364","70.5
245","74.8
307","47.3
315","55.5
305","32.9
229","39.5
363"
308,North Alabama,ASun,"100.2
316","119.2
341","47.9
308","54.1
291","16.5
152","14.6
318","30.2
202","34.0
312","37.8
120","31.6
84","68.7
295","75.4
329","48.7
281","54.9
292","31.0
314","35.4
263"
309,Coastal Carolina,SB,"103.0
272","108.9
171","47.9
309","46.6
22","15.0
52","12.2
364","25.8
327","26.6
31","31.2
284","36.5
217","73.3
146","70.6
91","46.0
336","45.6
16","33.6
206","32.2
87"
310,Louisiana Monroe,SB,"98.1
344","120.2
348","47.9
310","56.4
345","18.1
256","16.2
233","23.5
349","35.1
333","35.5
188","25.4
12","71.5
208","69.9
62","45.8
340","58.3
351","33.8
191","36.0
284"
311,Southern,SWAC,"104.2
255","112.6
260","47.9
311","54.7
307","17.3
202","19.0
72","31.4
164","32.4
260","39.7
76","44.1
334","68.3
310","77.3
358","47.1
321","54.0
275","33.0
226","37.1
333"
312,Alabama St.,SWAC,"101.7
298","115.1
292","47.9
312","54.1
292","19.1
311","19.7
49","31.7
149","34.8
327","35.3
192","41.0
307","70.9
229","75.0
315","46.7
326","54.6
283","33.1
223","35.5
265"
313,Alcorn St.,SWAC,"98.0
346","117.5
323","47.8
313","57.7
358","21.1
355","17.9
126","28.3
266","37.0
355","26.1
358","40.0
288","68.3
311","73.6
264","45.5
345","60.8
363","34.7
133","35.0
240"
314,Binghamton,AE,"96.0
352","122.6
359","47.8
314","54.9
309","19.8
331","13.5
350","22.7
352","29.4
121","43.5
29","33.0
116","75.6
70","70.5
82","49.3
266","54.7
284","29.6
344","36.8
324"
315,Louisiana,SB,"99.4
327","111.1
233","47.7
315","51.1
175","18.3
266","17.6
143","27.0
302","31.9
238","26.7
352","46.1
350","68.7
292","72.7
213","46.2
331","49.1
91","33.0
227","36.2
298"
316,UTEP,CUSA,"102.3
284","112.1
248","47.7
316","52.2
229","18.0
245","19.0
73","27.6
286","33.7
304","30.6
300","44.6
340","69.8
269","71.1
119","45.7
341","53.1
243","33.9
178","33.8
171"
317,Saint Francis,NEC,"98.3
342","119.5
345","47.7
317","59.1
364","18.0
244","18.8
80","25.8
328","33.5
297","26.8
351","37.1
228","70.8
232","71.1
117","45.6
343","58.9
358","34.1
170","39.7
364"
318,Howard,MEAC,"99.5
324","106.4
123","47.6
318","48.8
82","20.6
348","21.3
15","35.2
55","32.3
253","41.4
56","40.8
300","73.6
138","69.9
61","47.1
318","49.0
84","32.5
247","32.3
91"
319,Norfolk St.,MEAC,"98.6
338","115.8
304","47.6
319","51.5
196","19.1
309","18.5
93","31.1
175","33.2
287","43.7
25","44.2
336","65.8
352","70.0
66","46.1
332","55.5
306","34.0
175","30.8
48"
320,Maryland,B10,"110.7
136","107.5
142","47.5
320","55.3
327","18.0
242","16.7
204","32.5
121","31.3
198","40.6
62","34.5
155","73.3
154","72.3
179","46.7
327","54.4
279","32.3
260","37.7
342"
321,Maryland Eastern Shore,MEAC,"95.6
355","113.8
272","47.5
321","50.7
151","23.1
365","17.4
151","29.8
214","33.2
288","28.2
329","40.1
290","70.6
240","73.8
271","49.7
250","51.8
189","28.9
348","32.8
125"
322,Alabama A&M,SWAC,"101.4
302","114.3
279","47.5
322","52.6
247","17.1
188","17.1
170","27.3
294","28.8
92","43.0
36","38.6
260","74.6
99","70.1
67","47.1
319","52.3
214","32.1
265","35.5
267"
323,Sacramento St.,BSky,"107.4
203","114.4
281","47.5
323","55.3
328","15.3
70","16.8
188","27.5
289","33.0
283","40.3
68","36.1
207","77.9
16","74.0
273","46.8
325","56.1
320","32.5
249","36.1
293"
324,Seton Hall,BE,"108.2
186","95.5
16","47.4
324","46.5
20","16.5
150","22.1
8","37.5
17","31.0
181","36.5
156","43.6
327","72.5
178","70.8
104","47.5
307","45.5
14","31.4
297","31.9
78"
325,VMI,SC,"99.8
322","122.7
360","47.1
325","55.9
336","16.4
147","16.8
190","27.2
297","40.0
364","32.0
265","36.9
223","71.2
221","71.2
123","47.5
308","56.6
324","31.2
308","36.6
315"
326,Texas A&M Corpus Chris,Slnd,"101.6
300","103.7
75","47.1
326","50.7
152","18.5
278","20.0
34","31.1
176","29.8
137","43.3
32","44.4
339","65.6
353","71.2
125","46.1
333","51.8
190","32.8
232","32.5
99"
327,Prairie View A&M,SWAC,"100.6
309","116.2
310","47.0
327","53.9
285","16.4
146","19.8
44","25.3
337","36.8
353","43.2
34","47.6
358","76.1
55","72.7
206","46.1
335","52.9
236","32.7
238","37.2
335"
328,Brown,Ivy,"95.7
354","105.5
107","46.9
328","49.5
101","18.5
277","18.3
105","29.5
227","29.6
130","27.6
342","35.2
180","70.2
251","77.3
357","47.6
304","51.2
162","30.4
328","31.3
59"
329,New Hampshire,AE,"100.0
319","111.2
238","46.9
329","51.5
197","16.8
167","16.2
232","25.6
330","29.3
116","28.0
336","39.4
280","68.5
305","75.5
331","47.0
323","52.3
215","31.2
309","33.3
149"
330,Stonehill,NEC,"91.4
363","106.9
131","46.8
330","48.5
71","21.0
353","12.7
362","28.9
246","25.0
10","25.4
360","30.9
70","68.4
308","65.7
2","46.1
334","47.2
39","32.0
271","34.1
188"
331,Boston College,ACC,"102.4
283","100.0
39","46.7
331","46.7
25","15.6
86","15.2
288","28.4
263","29.3
114","35.0
196","33.9
138","65.4
355","65.7
3","48.6
282","48.0
57","29.4
346","29.7
23"
332,Fairleigh Dickinson,NEC,"101.0
304","117.9
325","46.7
332","56.0
337","17.6
217","16.6
208","30.6
188","28.9
95","32.0
266","37.3
233","69.3
279","71.3
131","47.6
306","54.5
280","30.5
325","38.7
356"
333,Canisius,MAAC,"96.7
348","115.2
293","46.5
333","53.8
278","19.6
326","16.4
219","29.9
210","30.4
155","31.5
278","32.8
114","69.9
266","73.5
258","43.9
357","56.9
331","33.5
212","33.3
148"
334,Pepperdine,WCC,"100.5
310","109.4
184","46.5
334","53.0
258","19.1
310","16.8
199","28.1
270","34.1
317","34.4
206","26.6
21","77.5
24","74.7
302","49.2
268","54.9
291","28.3
357","33.5
158"
335,Valparaiso,MVC,"106.5
217","105.1
95","46.4
335","49.6
104","15.9
107","17.3
153","32.0
146","30.5
160","38.7
99","38.6
261","71.5
206","69.4
47","45.5
344","51.2
163","31.9
273","31.2
55"
336,NJIT,AE,"99.1
331","113.2
264","46.4
336","50.4
139","17.8
234","15.3
286","26.3
316","32.6
267","33.8
224","38.4
257","72.7
173","70.4
80","45.3
349","51.3
169","32.0
270","32.8
124"
337,Rutgers,B10,"110.5
137","109.7
192","46.4
337","53.0
259","15.5
83","16.8
189","32.8
112","34.1
314","37.7
123","31.2
74","72.7
172","76.1
340","45.4
348","50.6
138","32.2
262","37.9
348"
338,North Texas,Amer,"100.0
317","100.2
43","46.2
338","47.9
54","18.4
275","21.6
14","32.8
115","33.1
284","38.2
109","48.0
360","69.9
264","71.4
135","47.1
317","49.5
105","29.5
345","30.0
31"
339,Towson,CAA,"102.7
279","104.8
90","46.2
339","50.7
153","16.4
142","16.2
231","36.4
32","26.6
28","30.4
304","31.3
79","68.5
306","71.0
114","49.3
264","53.5
256","27.1
363","31.2
57"
340,South Carolina St.,MEAC,"96.7
347","120.4
349","46.2
340","55.0
316","20.7
349","16.9
185","30.9
184","39.4
363","39.0
94","52.9
363","63.1
365","72.7
215","43.2
360","59.6
360","34.8
128","32.4
94"
341,UMKC,Sum,"95.8
353","116.4
311","46.1
341","56.1
341","19.0
306","16.7
205","28.6
258","36.7
351","30.2
310","31.3
80","68.6
302","69.3
43","48.0
294","57.2
335","28.5
354","36.2
303"
342,La Salle,A10,"104.5
250","108.5
154","46.1
342","54.2
294","18.9
300","17.1
172","33.4
93","32.0
242","36.8
147","29.9
58","71.3
215","69.2
41","46.4
330","53.9
269","30.2
332","36.3
306"
343,Ball St.,MAC,"99.8
321","112.1
250","46.0
343","55.3
329","16.3
139","19.3
60","26.6
306","32.3
254","33.2
238","29.2
52","71.1
225","77.5
360","47.0
324","55.0
295","29.8
339","37.1
334"
344,Gardner Webb,BSth,"94.2
358","123.9
362","45.8
344","57.8
359","20.9
352","14.2
333","24.0
347","36.7
352","30.9
293","35.0
169","70.7
236","72.0
162","45.9
339","59.9
362","30.5
326","36.6
316"
345,Jackson St.,SWAC,"99.5
325","118.3
330","45.8
345","54.5
303","19.7
330","15.5
282","25.0
341","38.7
360","33.0
244","40.7
297","76.5
45","71.9
158","44.5
354","56.6
326","31.6
291","34.5
214"
346,Southeastern Louisiana,Slnd,"98.5
341","108.9
167","45.7
346","52.3
233","18.8
297","19.4
59","27.8
280","31.6
223","42.0
51","42.8
324","69.0
284","73.4
254","47.9
297","51.2
161","28.2
358","36.0
289"
347,Cal St. Bakersfield,BW,"101.9
295","115.4
298","45.7
347","53.3
265","19.4
323","18.7
87","32.2
136","36.4
348","42.4
47","44.0
332","74.0
121","73.2
241","45.4
347","53.9
270","30.9
319","34.9
238"
348,Louisiana Tech,CUSA,"100.5
311","108.7
162","45.7
348","48.4
67","17.5
211","16.7
202","35.0
61","30.5
158","33.7
227","36.3
212","65.3
356","71.5
144","47.4
311","48.1
61","28.0
360","32.5
100"
349,North Carolina Central,MEAC,"99.9
320","118.9
339","45.6
349","56.6
349","18.5
281","18.7
86","28.2
269","38.2
358","41.3
57","39.8
284","74.4
108","70.7
95","44.7
352","57.3
339","31.5
293","37.2
336"
350,Hampton,CAA,"100.5
312","111.2
237","45.6
350","51.2
181","17.9
237","18.0
120","33.6
90","30.5
159","38.4
105","45.2
343","72.6
177","66.5
5","47.3
313","52.9
235","28.3
355","32.1
85"
351,Morgan St.,MEAC,"98.5
340","122.0
357","45.4
351","54.6
305","18.9
301","16.9
184","30.1
207","34.4
322","42.6
43","56.2
365","73.1
159","70.0
65","45.4
346","57.4
343","30.4
329","33.0
136"
352,Western Kentucky,CUSA,"104.8
244","106.6
126","45.4
352","50.7
154","14.8
46","17.6
139","33.3
100","29.9
139","38.2
110","44.1
335","73.6
137","67.8
19","44.0
356","48.5
70","31.8
279","35.7
276"
353,Saint Peter's,MAAC,"103.3
268","109.1
177","45.2
353","48.6
77","17.2
196","20.7
19","36.9
29","33.7
302","36.1
167","47.6
359","75.2
80","73.6
260","45.6
342","47.7
50","29.7
341","33.4
150"
354,Coppin St.,MEAC,"93.6
359","126.4
364","45.2
354","58.2
361","22.6
362","16.9
186","29.8
216","36.2
341","37.4
127","45.2
344","68.0
319","74.2
288","44.2
355","56.6
327","31.4
301","40.1
365"
355,Bryant,AE,"96.1
351","117.9
324","44.9
355","51.2
182","20.3
344","14.6
321","28.0
274","32.8
272","29.1
324","31.9
92","75.5
71","71.5
138","47.8
302","49.9
113","28.0
362","35.6
271"
356,Eastern Illinois,OVC,"95.1
356","109.9
200","44.8
356","51.0
171","19.4
322","19.5
54","27.0
301","36.2
342","33.7
228","36.1
210","75.1
89","74.3
290","43.8
358","55.0
296","31.4
298","30.3
39"
357,East Carolina,Amer,"99.5
326","109.7
191","44.7
357","52.8
253","17.6
219","17.2
166","32.6
119","31.7
226","38.8
97","34.4
151","69.2
283","72.6
202","45.9
338","51.8
191","28.0
359","36.2
304"
358,Georgia St.,SB,"101.3
303","110.7
222","44.5
358","50.1
121","16.9
178","16.8
192","27.8
279","33.8
309","36.6
152","35.0
168","79.7
6","69.8
57","42.6
363","50.5
133","31.1
311","33.0
135"
359,Mississippi Valley St.,SWAC,"88.1
365","119.4
343","44.1
359","57.3
354","22.9
364","16.9
187","25.8
329","35.8
337","31.6
275","47.5
357","72.9
167","75.4
327","44.8
350","57.2
336","28.3
356","38.3
353"
360,Chicago St.,NEC,"98.1
345","120.0
347","44.1
360","57.4
355","16.9
179","19.4
58","28.8
253","36.9
354","30.4
307","37.8
250","75.0
93","74.4
295","42.1
364","62.5
365","32.6
243","35.2
251"
361,Rider,MAAC,"99.0
334","119.3
342","43.5
361","54.2
295","18.3
267","13.1
355","33.7
87","33.4
293","32.0
264","32.3
102","71.6
205","68.3
23","43.6
359","53.4
251","28.8
350","36.9
328"
362,Southern Indiana,OVC,"92.8
361","109.2
179","43.5
362","48.1
61","17.8
233","16.7
203","29.6
220","31.6
221","35.0
197","36.5
216","66.2
345","71.2
124","42.8
362","48.4
67","29.7
343","31.7
70"
363,Western Illinois,OVC,"93.1
360","119.5
344","43.3
363","53.8
279","17.7
229","15.7
266","29.0
244","34.1
316","38.7
100","37.7
244","67.2
335","71.6
148","43.1
361","53.5
257","29.1
347","36.2
302"
364,UTSA,Amer,"96.6
349","117.3
322","43.0
364","53.5
269","18.5
280","15.3
287","29.9
211","37.8
357","30.2
309","34.9
166","70.1
256","70.7
98","44.7
351","52.2
209","27.1
364","36.7
320"
365,Delaware St.,MEAC,"88.7
364","111.2
239","42.4
365","54.3
296","19.2
313","20.4
22","25.4
335","29.9
141","32.6
253","38.7
265","67.9
321","70.2
74","41.3
365","55.6
308","30.2
331","34.7
223"